ID,Best Cluster
A_PuertoRico_8_1934_HA_103_1447,30
A_PuertoRico_8_1934_HA_104_128,33
A_PuertoRico_8_1934_HA_106_1487,3
A_PuertoRico_8_1934_HA_1240_1503,25
A_PuertoRico_8_1934_HA_126_1470,24
A_PuertoRico_8_1934_HA_126_1498,27
A_PuertoRico_8_1934_HA_126_1532,34
A_PuertoRico_8_1934_HA_126_1547,31
A_PuertoRico_8_1934_HA_1531_1560,33
A_PuertoRico_8_1934_HA_175_1429,3
A_PuertoRico_8_1934_HA_206_1428,25
A_PuertoRico_8_1934_HA_206_1440,33
A_PuertoRico_8_1934_HA_206_1447,-1
A_PuertoRico_8_1934_HA_206_1484,33
A_PuertoRico_8_1934_HA_210_1440,3
A_PuertoRico_8_1934_HA_215_1484,33
A_PuertoRico_8_1934_HA_216_1448,-1
A_PuertoRico_8_1934_HA_274_1576,3
A_PuertoRico_8_1934_HA_283_1375,27
A_PuertoRico_8_1934_HA_390_500,3
A_PuertoRico_8_1934_HA_48_1485,3
A_PuertoRico_8_1934_HA_92_1447,25
A_PuertoRico_8_1934_HA_92_1484,3
A_PuertoRico_8_1934_HA_94_1534,10
A_PuertoRico_8_1934_HA_96_1484,3
A_PuertoRico_8_1934_HA_97_1533,3
A_PuertoRico_8_1934_HA_97_1548,-1
A_PuertoRico_8_1934_M_121_853,3
A_PuertoRico_8_1934_M_126_741,30
A_PuertoRico_8_1934_M_365_924,30
A_PuertoRico_8_1934_M_52_741,24
A_PuertoRico_8_1934_NA_187_1108,18
A_PuertoRico_8_1934_NA_198_292,3
A_PuertoRico_8_1934_NA_209_838,3
A_PuertoRico_8_1934_NA_210_1018,3
A_PuertoRico_8_1934_NA_707_1170,3
A_PuertoRico_8_1934_NP_109_479,3
A_PuertoRico_8_1934_NP_1192_1295,3
A_PuertoRico_8_1934_NP_1220_1409,3
A_PuertoRico_8_1934_NP_164_1381,3
A_PuertoRico_8_1934_NP_165_1278,3
A_PuertoRico_8_1934_NP_166_1345,3
A_PuertoRico_8_1934_NP_223_1277,19
A_PuertoRico_8_1934_NP_228_1277,25
A_PuertoRico_8_1934_NP_234_1277,-1
A_PuertoRico_8_1934_NP_253_544,3
A_PuertoRico_8_1934_NP_274_1200,25
A_PuertoRico_8_1934_NP_296_531,3
A_PuertoRico_8_1934_NP_425_617,3
A_PuertoRico_8_1934_NP_764_1392,3
A_PuertoRico_8_1934_NP_90_1165,3
A_PuertoRico_8_1934_NS_57_530,24
A_PuertoRico_8_1934_PA_120_143,1
A_PuertoRico_8_1934_PA_120_157,11
A_PuertoRico_8_1934_PA_120_1886,-1
A_PuertoRico_8_1934_PA_120_1922,27
A_PuertoRico_8_1934_PA_120_1974,21
A_PuertoRico_8_1934_PA_120_1990,20
A_PuertoRico_8_1934_PA_120_2027,26
A_PuertoRico_8_1934_PA_121_2074,29
A_PuertoRico_8_1934_PA_122_1990,11
A_PuertoRico_8_1934_PA_123_148,23
A_PuertoRico_8_1934_PA_123_181,32
A_PuertoRico_8_1934_PA_123_2074,8
A_PuertoRico_8_1934_PA_124_147,9
A_PuertoRico_8_1934_PA_124_168,32
A_PuertoRico_8_1934_PA_124_1984,-1
A_PuertoRico_8_1934_PA_124_1990,13
A_PuertoRico_8_1934_PA_124_2027,-1
A_PuertoRico_8_1934_PA_129_1959,30
A_PuertoRico_8_1934_PA_130_1972,15
A_PuertoRico_8_1934_PA_130_2075,2
A_PuertoRico_8_1934_PA_132_1978,19
A_PuertoRico_8_1934_PA_134_2004,34
A_PuertoRico_8_1934_PA_135_1974,-1
A_PuertoRico_8_1934_PA_135_1990,2
A_PuertoRico_8_1934_PA_135_2027,7
A_PuertoRico_8_1934_PA_135_2063,-1
A_PuertoRico_8_1934_PA_136_1987,4
A_PuertoRico_8_1934_PA_137_165,8
A_PuertoRico_8_1934_PA_137_1956,5
A_PuertoRico_8_1934_PA_137_1975,0
A_PuertoRico_8_1934_PA_137_2068,1
A_PuertoRico_8_1934_PA_137_2074,20
A_PuertoRico_8_1934_PA_138_172,-1
A_PuertoRico_8_1934_PA_138_180,21
A_PuertoRico_8_1934_PA_138_1937,9
A_PuertoRico_8_1934_PA_138_1948,11
A_PuertoRico_8_1934_PA_138_1951,12
A_PuertoRico_8_1934_PA_138_1967,16
A_PuertoRico_8_1934_PA_138_1984,-1
A_PuertoRico_8_1934_PA_138_1987,30
A_PuertoRico_8_1934_PA_138_1990,14
A_PuertoRico_8_1934_PA_138_2011,26
A_PuertoRico_8_1934_PA_138_2014,22
A_PuertoRico_8_1934_PA_138_2017,4
A_PuertoRico_8_1934_PA_138_2042,33
A_PuertoRico_8_1934_PA_138_2063,0
A_PuertoRico_8_1934_PA_138_208,24
A_PuertoRico_8_1934_PA_139_169,9
A_PuertoRico_8_1934_PA_139_1946,9
A_PuertoRico_8_1934_PA_139_1961,12
A_PuertoRico_8_1934_PA_139_1979,9
A_PuertoRico_8_1934_PA_139_1989,0
A_PuertoRico_8_1934_PA_139_1997,23
A_PuertoRico_8_1934_PA_139_2028,14
A_PuertoRico_8_1934_PA_139_2084,31
A_PuertoRico_8_1934_PA_140_1846,2
A_PuertoRico_8_1934_PA_140_1881,31
A_PuertoRico_8_1934_PA_140_2087,31
A_PuertoRico_8_1934_PA_142_1951,-1
A_PuertoRico_8_1934_PA_142_1978,14
A_PuertoRico_8_1934_PA_142_1990,17
A_PuertoRico_8_1934_PA_146_168,0
A_PuertoRico_8_1934_PA_146_172,4
A_PuertoRico_8_1934_PA_146_1974,9
A_PuertoRico_8_1934_PA_146_1978,19
A_PuertoRico_8_1934_PA_146_1986,19
A_PuertoRico_8_1934_PA_146_1990,11
A_PuertoRico_8_1934_PA_146_2011,14
A_PuertoRico_8_1934_PA_146_2027,17
A_PuertoRico_8_1934_PA_149_183,6
A_PuertoRico_8_1934_PA_152_1911,18
A_PuertoRico_8_1934_PA_156_1868,2
A_PuertoRico_8_1934_PA_156_1990,11
A_PuertoRico_8_1934_PA_156_1992,33
A_PuertoRico_8_1934_PA_157_1961,19
A_PuertoRico_8_1934_PA_157_1973,25
A_PuertoRico_8_1934_PA_157_1979,9
A_PuertoRico_8_1934_PA_157_2028,16
A_PuertoRico_8_1934_PA_158_1881,4
A_PuertoRico_8_1934_PA_158_1925,22
A_PuertoRico_8_1934_PA_159_1936,30
A_PuertoRico_8_1934_PA_159_1977,11
A_PuertoRico_8_1934_PA_162_2024,4
A_PuertoRico_8_1934_PA_163_1951,14
A_PuertoRico_8_1934_PA_163_1984,19
A_PuertoRico_8_1934_PA_163_2011,4
A_PuertoRico_8_1934_PA_164_1927,29
A_PuertoRico_8_1934_PA_164_1973,30
A_PuertoRico_8_1934_PA_164_1989,19
A_PuertoRico_8_1934_PA_164_2026,32
A_PuertoRico_8_1934_PA_165_1925,-1
A_PuertoRico_8_1934_PA_165_1976,8
A_PuertoRico_8_1934_PA_167_1951,1
A_PuertoRico_8_1934_PA_167_1967,-1
A_PuertoRico_8_1934_PA_167_1986,21
A_PuertoRico_8_1934_PA_167_1990,14
A_PuertoRico_8_1934_PA_167_2011,15
A_PuertoRico_8_1934_PA_167_2042,2
A_PuertoRico_8_1934_PA_167_208,28
A_PuertoRico_8_1934_PA_168_1845,5
A_PuertoRico_8_1934_PA_168_1975,15
A_PuertoRico_8_1934_PA_168_2086,3
A_PuertoRico_8_1934_PA_169_1998,-1
A_PuertoRico_8_1934_PA_170_1924,-1
A_PuertoRico_8_1934_PA_171_1945,21
A_PuertoRico_8_1934_PA_171_1964,17
A_PuertoRico_8_1934_PA_171_1974,2
A_PuertoRico_8_1934_PA_172_1949,9
A_PuertoRico_8_1934_PA_172_1968,19
A_PuertoRico_8_1934_PA_173_1992,14
A_PuertoRico_8_1934_PA_178_1924,-1
A_PuertoRico_8_1934_PA_179_1879,30
A_PuertoRico_8_1934_PA_179_1951,0
A_PuertoRico_8_1934_PA_179_1960,12
A_PuertoRico_8_1934_PA_179_1974,10
A_PuertoRico_8_1934_PA_179_1978,2
A_PuertoRico_8_1934_PA_179_1986,19
A_PuertoRico_8_1934_PA_179_1990,21
A_PuertoRico_8_1934_PA_179_2002,19
A_PuertoRico_8_1934_PA_180_1985,21
A_PuertoRico_8_1934_PA_182_1943,18
A_PuertoRico_8_1934_PA_184_1990,8
A_PuertoRico_8_1934_PA_185_1923,16
A_PuertoRico_8_1934_PA_188_1851,17
A_PuertoRico_8_1934_PA_188_1952,15
A_PuertoRico_8_1934_PA_188_1987,-1
A_PuertoRico_8_1934_PA_190_1925,27
A_PuertoRico_8_1934_PA_194_2042,33
A_PuertoRico_8_1934_PA_1959_1990,23
A_PuertoRico_8_1934_PA_195_1869,16
A_PuertoRico_8_1934_PA_195_1952,2
A_PuertoRico_8_1934_PA_2026_2048,4
A_PuertoRico_8_1934_PA_2026_2063,14
A_PuertoRico_8_1934_PA_2041_2063,13
A_PuertoRico_8_1934_PA_204_1945,16
A_PuertoRico_8_1934_PA_204_1990,16
A_PuertoRico_8_1934_PA_205_1952,0
A_PuertoRico_8_1934_PA_206_1924,29
A_PuertoRico_8_1934_PA_206_232,5
A_PuertoRico_8_1934_PA_207_1844,7
A_PuertoRico_8_1934_PA_207_1873,5
A_PuertoRico_8_1934_PA_207_1879,31
A_PuertoRico_8_1934_PA_207_1916,16
A_PuertoRico_8_1934_PA_207_1937,9
A_PuertoRico_8_1934_PA_207_1945,9
A_PuertoRico_8_1934_PA_207_1948,9
A_PuertoRico_8_1934_PA_207_1960,9
A_PuertoRico_8_1934_PA_207_1990,21
A_PuertoRico_8_1934_PA_207_2063,19
A_PuertoRico_8_1934_PA_207_248,29
A_PuertoRico_8_1934_PA_208_1916,22
A_PuertoRico_8_1934_PA_208_1952,24
A_PuertoRico_8_1934_PA_208_2012,10
A_PuertoRico_8_1934_PA_211_263,19
A_PuertoRico_8_1934_PA_212_1924,0
A_PuertoRico_8_1934_PA_213_1945,28
A_PuertoRico_8_1934_PA_213_1951,25
A_PuertoRico_8_1934_PA_213_1960,18
A_PuertoRico_8_1934_PA_213_259,4
A_PuertoRico_8_1934_PA_215_250,26
A_PuertoRico_8_1934_PA_216_1993,26
A_PuertoRico_8_1934_PA_221_1882,17
A_PuertoRico_8_1934_PA_221_1890,-1
A_PuertoRico_8_1934_PA_221_1926,0
A_PuertoRico_8_1934_PA_221_2076,18
A_PuertoRico_8_1934_PA_228_1960,9
A_PuertoRico_8_1934_PA_232_1925,6
A_PuertoRico_8_1934_PA_234_1836,27
A_PuertoRico_8_1934_PA_234_1879,17
A_PuertoRico_8_1934_PA_234_1937,16
A_PuertoRico_8_1934_PA_234_1948,10
A_PuertoRico_8_1934_PA_234_1951,20
A_PuertoRico_8_1934_PA_234_1990,12
A_PuertoRico_8_1934_PA_234_2002,25
A_PuertoRico_8_1934_PA_234_259,-1
A_PuertoRico_8_1934_PA_234_302,28
A_PuertoRico_8_1934_PA_239_1944,30
A_PuertoRico_8_1934_PA_240_1925,4
A_PuertoRico_8_1934_PA_241_1863,17
A_PuertoRico_8_1934_PA_241_2070,10
A_PuertoRico_8_1934_PA_244_1818,16
A_PuertoRico_8_1934_PA_245_1873,26
A_PuertoRico_8_1934_PA_245_1948,19
A_PuertoRico_8_1934_PA_245_1960,2
A_PuertoRico_8_1934_PA_245_1974,6
A_PuertoRico_8_1934_PA_245_1990,2
A_PuertoRico_8_1934_PA_245_2092,19
A_PuertoRico_8_1934_PA_247_1945,4
A_PuertoRico_8_1934_PA_247_2011,18
A_PuertoRico_8_1934_PA_248_1938,19
A_PuertoRico_8_1934_PA_248_1968,33
A_PuertoRico_8_1934_PA_249_1875,17
A_PuertoRico_8_1934_PA_258_1844,15
A_PuertoRico_8_1934_PA_258_1879,11
A_PuertoRico_8_1934_PA_258_1922,30
A_PuertoRico_8_1934_PA_258_1948,24
A_PuertoRico_8_1934_PA_258_1967,7
A_PuertoRico_8_1934_PA_258_1974,2
A_PuertoRico_8_1934_PA_258_1990,31
A_PuertoRico_8_1934_PA_258_2063,19
A_PuertoRico_8_1934_PA_258_317,-1
A_PuertoRico_8_1934_PA_259_1833,32
A_PuertoRico_8_1934_PA_259_1929,22
A_PuertoRico_8_1934_PA_259_2012,33
A_PuertoRico_8_1934_PA_268_1844,10
A_PuertoRico_8_1934_PA_268_1869,30
A_PuertoRico_8_1934_PA_269_1509,22
A_PuertoRico_8_1934_PA_269_1930,30
A_PuertoRico_8_1934_PA_283_2044,3
A_PuertoRico_8_1934_PA_285_1884,34
A_PuertoRico_8_1934_PA_292_320,30
A_PuertoRico_8_1934_PA_293_1813,8
A_PuertoRico_8_1934_PA_293_1819,28
A_PuertoRico_8_1934_PA_293_1845,7
A_PuertoRico_8_1934_PA_294_1797,4
A_PuertoRico_8_1934_PA_294_1808,10
A_PuertoRico_8_1934_PA_294_1844,21
A_PuertoRico_8_1934_PA_294_1866,28
A_PuertoRico_8_1934_PA_294_1868,-1
A_PuertoRico_8_1934_PA_294_1886,0
A_PuertoRico_8_1934_PA_294_2063,32
A_PuertoRico_8_1934_PA_294_317,2
A_PuertoRico_8_1934_PA_295_1864,18
A_PuertoRico_8_1934_PA_295_372,-1
A_PuertoRico_8_1934_PA_297_1844,2
A_PuertoRico_8_1934_PA_297_1974,32
A_PuertoRico_8_1934_PA_299_1799,-1
A_PuertoRico_8_1934_PA_299_1834,29
A_PuertoRico_8_1934_PA_299_1852,1
A_PuertoRico_8_1934_PA_301_1745,1
A_PuertoRico_8_1934_PA_301_1797,1
A_PuertoRico_8_1934_PA_301_1832,29
A_PuertoRico_8_1934_PA_301_1879,6
A_PuertoRico_8_1934_PA_301_2027,26
A_PuertoRico_8_1934_PA_304_1915,30
A_PuertoRico_8_1934_PA_305_1880,15
A_PuertoRico_8_1934_PA_316_1808,2
A_PuertoRico_8_1934_PA_316_1844,29
A_PuertoRico_8_1934_PA_342_1745,7
A_PuertoRico_8_1934_PA_342_1844,17
A_PuertoRico_8_1934_PA_342_1873,5
A_PuertoRico_8_1934_PA_347_1875,30
A_PuertoRico_8_1934_PA_351_1814,8
A_PuertoRico_8_1934_PA_352_1830,22
A_PuertoRico_8_1934_PA_353_1738,25
A_PuertoRico_8_1934_PA_356_1847,10
A_PuertoRico_8_1934_PA_370_1745,8
A_PuertoRico_8_1934_PA_382_1745,1
A_PuertoRico_8_1934_PA_390_1808,31
A_PuertoRico_8_1934_PA_410_1749,23
A_PuertoRico_8_1934_PA_411_1745,26
A_PuertoRico_8_1934_PA_413_1716,28
A_PuertoRico_8_1934_PA_413_1745,17
A_PuertoRico_8_1934_PA_437_1749,17
A_PuertoRico_8_1934_PA_453_1745,-1
A_PuertoRico_8_1934_PA_453_1808,33
A_PuertoRico_8_1934_PA_463_1631,25
A_PuertoRico_8_1934_PA_464_1809,4
A_PuertoRico_8_1934_PA_506_1745,7
A_PuertoRico_8_1934_PA_559_1632,22
A_PuertoRico_8_1934_PA_561_1678,22
A_PuertoRico_8_1934_PA_84_123,4
A_PuertoRico_8_1934_PA_84_139,-1
A_PuertoRico_8_1934_PA_84_1990,1
A_PuertoRico_8_1934_PA_84_2042,17
A_PuertoRico_8_1934_PA_84_2063,19
A_PuertoRico_8_1934_PA_85_126,19
A_PuertoRico_8_1934_PA_85_2012,10
A_PuertoRico_8_1934_PA_86_2026,30
A_PuertoRico_8_1934_PA_87_2060,25
A_PuertoRico_8_1934_PA_905_2100,3
A_PuertoRico_8_1934_PA_90_112,7
A_PuertoRico_8_1934_PA_95_195,1
A_PuertoRico_8_1934_PB1_112_2113,15
A_PuertoRico_8_1934_PB1_113_2110,1
A_PuertoRico_8_1934_PB1_113_2129,20
A_PuertoRico_8_1934_PB1_113_2141,-1
A_PuertoRico_8_1934_PB1_113_2149,3
A_PuertoRico_8_1934_PB1_113_2158,-1
A_PuertoRico_8_1934_PB1_113_2165,-1
A_PuertoRico_8_1934_PB1_113_2177,-1
A_PuertoRico_8_1934_PB1_114_150,-1
A_PuertoRico_8_1934_PB1_114_2204,3
A_PuertoRico_8_1934_PB1_115_138,-1
A_PuertoRico_8_1934_PB1_115_140,15
A_PuertoRico_8_1934_PB1_115_2056,-1
A_PuertoRico_8_1934_PB1_115_2165,31
A_PuertoRico_8_1934_PB1_116_2142,3
A_PuertoRico_8_1934_PB1_120_1927,-1
A_PuertoRico_8_1934_PB1_120_2159,31
A_PuertoRico_8_1934_PB1_122_2168,8
A_PuertoRico_8_1934_PB1_1234_2211,3
A_PuertoRico_8_1934_PB1_125_150,2
A_PuertoRico_8_1934_PB1_126_2110,20
A_PuertoRico_8_1934_PB1_126_2158,-1
A_PuertoRico_8_1934_PB1_126_2165,19
A_PuertoRico_8_1934_PB1_126_2177,3
A_PuertoRico_8_1934_PB1_127_2130,13
