ID,Best Cluster
A_PuertoRico_8_1934_HA_103_1447,19
A_PuertoRico_8_1934_HA_103_1570,14
A_PuertoRico_8_1934_HA_104_128,-1
A_PuertoRico_8_1934_HA_106_1487,-1
A_PuertoRico_8_1934_HA_1240_1503,20
A_PuertoRico_8_1934_HA_126_1447,20
A_PuertoRico_8_1934_HA_126_1470,-1
A_PuertoRico_8_1934_HA_126_1498,7
A_PuertoRico_8_1934_HA_126_1532,18
A_PuertoRico_8_1934_HA_126_1547,17
A_PuertoRico_8_1934_HA_1323_1471,20
A_PuertoRico_8_1934_HA_135_1532,14
A_PuertoRico_8_1934_HA_141_1485,-1
A_PuertoRico_8_1934_HA_1446_1484,20
A_PuertoRico_8_1934_HA_1531_1560,-1
A_PuertoRico_8_1934_HA_175_1429,14
A_PuertoRico_8_1934_HA_206_1428,0
A_PuertoRico_8_1934_HA_206_1440,18
A_PuertoRico_8_1934_HA_206_1447,3
A_PuertoRico_8_1934_HA_206_1484,-1
A_PuertoRico_8_1934_HA_206_236,20
A_PuertoRico_8_1934_HA_210_1440,14
A_PuertoRico_8_1934_HA_215_1484,19
A_PuertoRico_8_1934_HA_216_1448,8
A_PuertoRico_8_1934_HA_217_1455,20
A_PuertoRico_8_1934_HA_233_1428,14
A_PuertoRico_8_1934_HA_233_1440,19
A_PuertoRico_8_1934_HA_274_1576,13
A_PuertoRico_8_1934_HA_283_1375,7
A_PuertoRico_8_1934_HA_316_1306,19
A_PuertoRico_8_1934_HA_316_1447,16
A_PuertoRico_8_1934_HA_37_1377,19
A_PuertoRico_8_1934_HA_390_500,12
A_PuertoRico_8_1934_HA_48_1485,14
A_PuertoRico_8_1934_HA_91_1449,-1
A_PuertoRico_8_1934_HA_92_1447,-1
A_PuertoRico_8_1934_HA_92_1484,13
A_PuertoRico_8_1934_HA_94_1534,4
A_PuertoRico_8_1934_HA_96_1484,14
A_PuertoRico_8_1934_HA_97_1533,-1
A_PuertoRico_8_1934_HA_97_1548,-1
A_PuertoRico_8_1934_M_121_853,12
A_PuertoRico_8_1934_M_126_741,-1
A_PuertoRico_8_1934_M_302_667,19
A_PuertoRico_8_1934_M_365_924,19
A_PuertoRico_8_1934_M_52_741,8
A_PuertoRico_8_1934_M_887_911,-1
A_PuertoRico_8_1934_NA_187_1108,2
A_PuertoRico_8_1934_NA_190_1109,-1
A_PuertoRico_8_1934_NA_198_292,12
A_PuertoRico_8_1934_NA_209_838,13
A_PuertoRico_8_1934_NA_210_1018,13
A_PuertoRico_8_1934_NA_339_1212,20
A_PuertoRico_8_1934_NA_574_613,16
A_PuertoRico_8_1934_NA_581_1005,20
A_PuertoRico_8_1934_NA_707_1170,12
A_PuertoRico_8_1934_NA_77_99,19
A_PuertoRico_8_1934_NP_109_479,13
A_PuertoRico_8_1934_NP_1192_1295,12
A_PuertoRico_8_1934_NP_1220_1409,12
A_PuertoRico_8_1934_NP_1269_1322,19
A_PuertoRico_8_1934_NP_164_1322,-1
A_PuertoRico_8_1934_NP_164_1364,14
A_PuertoRico_8_1934_NP_164_1381,14
A_PuertoRico_8_1934_NP_165_1278,14
A_PuertoRico_8_1934_NP_166_1345,14
A_PuertoRico_8_1934_NP_218_1277,20
A_PuertoRico_8_1934_NP_223_1277,17
A_PuertoRico_8_1934_NP_223_1288,14
A_PuertoRico_8_1934_NP_228_1277,-1
A_PuertoRico_8_1934_NP_234_1277,17
A_PuertoRico_8_1934_NP_253_544,13
A_PuertoRico_8_1934_NP_274_1200,19
A_PuertoRico_8_1934_NP_274_1277,14
A_PuertoRico_8_1934_NP_275_1211,14
A_PuertoRico_8_1934_NP_279_1201,19
A_PuertoRico_8_1934_NP_279_1278,20
A_PuertoRico_8_1934_NP_296_531,13
A_PuertoRico_8_1934_NP_377_1200,20
A_PuertoRico_8_1934_NP_377_1210,20
A_PuertoRico_8_1934_NP_405_1031,20
A_PuertoRico_8_1934_NP_425_617,12
A_PuertoRico_8_1934_NP_520_660,-1
A_PuertoRico_8_1934_NP_764_1392,12
A_PuertoRico_8_1934_NP_779_809,20
A_PuertoRico_8_1934_NP_90_1165,13
A_PuertoRico_8_1934_NS_57_530,8
A_PuertoRico_8_1934_NS_723_745,20
A_PuertoRico_8_1934_PA_120_143,8
A_PuertoRico_8_1934_PA_120_157,9
A_PuertoRico_8_1934_PA_120_1886,19
A_PuertoRico_8_1934_PA_120_1922,7
A_PuertoRico_8_1934_PA_120_1974,9
A_PuertoRico_8_1934_PA_120_1990,9
A_PuertoRico_8_1934_PA_120_2027,11
A_PuertoRico_8_1934_PA_121_2074,17
A_PuertoRico_8_1934_PA_122_1990,9
A_PuertoRico_8_1934_PA_123_148,7
A_PuertoRico_8_1934_PA_123_181,17
A_PuertoRico_8_1934_PA_123_2074,15
A_PuertoRico_8_1934_PA_124_147,9
A_PuertoRico_8_1934_PA_124_168,17
A_PuertoRico_8_1934_PA_124_1984,-1
A_PuertoRico_8_1934_PA_124_1990,9
A_PuertoRico_8_1934_PA_124_2027,5
A_PuertoRico_8_1934_PA_129_156,19
A_PuertoRico_8_1934_PA_129_1959,-1
A_PuertoRico_8_1934_PA_130_1972,2
A_PuertoRico_8_1934_PA_130_2075,0
A_PuertoRico_8_1934_PA_130_2076,19
A_PuertoRico_8_1934_PA_132_1978,17
A_PuertoRico_8_1934_PA_134_2004,17
A_PuertoRico_8_1934_PA_135_1974,-1
A_PuertoRico_8_1934_PA_135_1990,0
A_PuertoRico_8_1934_PA_135_2027,10
A_PuertoRico_8_1934_PA_135_2063,17
A_PuertoRico_8_1934_PA_136_1987,1
A_PuertoRico_8_1934_PA_137_165,15
A_PuertoRico_8_1934_PA_137_1956,5
A_PuertoRico_8_1934_PA_137_1975,6
A_PuertoRico_8_1934_PA_137_2068,8
A_PuertoRico_8_1934_PA_137_2074,9
A_PuertoRico_8_1934_PA_138_172,-1
A_PuertoRico_8_1934_PA_138_180,9
A_PuertoRico_8_1934_PA_138_1937,9
A_PuertoRico_8_1934_PA_138_1948,-1
A_PuertoRico_8_1934_PA_138_1951,9
A_PuertoRico_8_1934_PA_138_1967,5
A_PuertoRico_8_1934_PA_138_1984,-1
A_PuertoRico_8_1934_PA_138_1987,18
A_PuertoRico_8_1934_PA_138_1990,9
A_PuertoRico_8_1934_PA_138_2011,11
A_PuertoRico_8_1934_PA_138_2014,11
A_PuertoRico_8_1934_PA_138_2017,1
A_PuertoRico_8_1934_PA_138_2042,18
A_PuertoRico_8_1934_PA_138_2063,6
A_PuertoRico_8_1934_PA_138_208,8
A_PuertoRico_8_1934_PA_139_169,9
A_PuertoRico_8_1934_PA_139_1946,9
A_PuertoRico_8_1934_PA_139_1961,9
A_PuertoRico_8_1934_PA_139_1979,9
A_PuertoRico_8_1934_PA_139_1989,6
A_PuertoRico_8_1934_PA_139_1997,7
A_PuertoRico_8_1934_PA_139_2028,9
A_PuertoRico_8_1934_PA_139_2084,17
A_PuertoRico_8_1934_PA_140_1846,0
A_PuertoRico_8_1934_PA_140_1881,17
