ID,Best Cluster
B_Yamagata_16_1988_M_202_1060,9
B_Yamagata_16_1988_M_662_1016,10
B_Yamagata_16_1988_M_83_696,10
B_Yamagata_16_1988_NA_422_977,13
B_Yamagata_16_1988_NP_131_1407,13
B_Yamagata_16_1988_NP_1381_1461,7
B_Yamagata_16_1988_PA_1118_1195,12
B_Yamagata_16_1988_PA_2056_2117,13
B_Yamagata_16_1988_PA_225_2092,8
B_Yamagata_16_1988_PA_229_2041,-1
B_Yamagata_16_1988_PA_259_1929,7
B_Yamagata_16_1988_PA_278_2076,13
B_Yamagata_16_1988_PA_314_1905,-1
B_Yamagata_16_1988_PA_314_1945,9
B_Yamagata_16_1988_PA_326_1901,8
B_Yamagata_16_1988_PA_399_1858,2
B_Yamagata_16_1988_PA_399_1906,-1
B_Yamagata_16_1988_PA_413_1860,9
B_Yamagata_16_1988_PA_421_1857,7
B_Yamagata_16_1988_PA_452_1826,-1
B_Yamagata_16_1988_PA_457_1860,2
B_Yamagata_16_1988_PA_463_1857,8
B_Yamagata_16_1988_PA_477_1763,6
B_Yamagata_16_1988_PA_478_1857,8
B_Yamagata_16_1988_PA_480_1852,10
B_Yamagata_16_1988_PA_481_1815,13
B_Yamagata_16_1988_PA_485_1771,13
B_Yamagata_16_1988_PA_488_1824,5
B_Yamagata_16_1988_PA_489_1826,5
B_Yamagata_16_1988_PA_489_1837,5
B_Yamagata_16_1988_PA_490_1823,5
B_Yamagata_16_1988_PA_496_1773,8
B_Yamagata_16_1988_PA_496_1826,-1
B_Yamagata_16_1988_PA_497_1823,13
B_Yamagata_16_1988_PA_503_1811,7
B_Yamagata_16_1988_PA_514_1719,6
B_Yamagata_16_1988_PA_514_1811,-1
B_Yamagata_16_1988_PA_514_1856,7
B_Yamagata_16_1988_PA_518_1719,8
B_Yamagata_16_1988_PA_529_628,13
B_Yamagata_16_1988_PA_530_1681,9
B_Yamagata_16_1988_PA_530_1899,8
B_Yamagata_16_1988_PA_533_1706,8
B_Yamagata_16_1988_PA_541_1781,7
B_Yamagata_16_1988_PA_547_1772,13
B_Yamagata_16_1988_PA_602_1720,10
B_Yamagata_16_1988_PA_638_1536,1
B_Yamagata_16_1988_PA_654_1638,5
B_Yamagata_16_1988_PA_67_92,8
B_Yamagata_16_1988_PA_707_1687,0
B_Yamagata_16_1988_PA_778_1491,0
B_Yamagata_16_1988_PB1_132_2183,13
B_Yamagata_16_1988_PB1_156_2057,10
B_Yamagata_16_1988_PB1_233_2192,8
B_Yamagata_16_1988_PB1_242_2163,13
B_Yamagata_16_1988_PB1_288_2094,4
B_Yamagata_16_1988_PB1_290_2005,9
B_Yamagata_16_1988_PB1_299_2005,5
B_Yamagata_16_1988_PB1_300_2015,9
B_Yamagata_16_1988_PB1_301_2020,2
B_Yamagata_16_1988_PB1_303_2018,13
B_Yamagata_16_1988_PB1_306_1999,5
B_Yamagata_16_1988_PB1_306_2051,11
B_Yamagata_16_1988_PB1_309_2004,8
B_Yamagata_16_1988_PB1_310_1994,4
B_Yamagata_16_1988_PB1_310_1999,5
B_Yamagata_16_1988_PB1_310_2003,2
B_Yamagata_16_1988_PB1_310_2195,10
B_Yamagata_16_1988_PB1_311_2027,13
B_Yamagata_16_1988_PB1_311_2057,-1
B_Yamagata_16_1988_PB1_311_2066,-1
B_Yamagata_16_1988_PB1_327_2003,0
B_Yamagata_16_1988_PB1_330_2118,13
B_Yamagata_16_1988_PB1_353_2089,10
B_Yamagata_16_1988_PB1_357_2019,5
B_Yamagata_16_1988_PB1_361_2198,10
B_Yamagata_16_1988_PB1_366_1935,5
B_Yamagata_16_1988_PB1_370_1937,8
B_Yamagata_16_1988_PB1_372_1934,-1
B_Yamagata_16_1988_PB1_375_1936,5
B_Yamagata_16_1988_PB1_375_1941,5
B_Yamagata_16_1988_PB1_375_1943,13
B_Yamagata_16_1988_PB1_377_1934,2
B_Yamagata_16_1988_PB1_377_1935,1
B_Yamagata_16_1988_PB1_379_1934,6
B_Yamagata_16_1988_PB1_380_1944,8
