ID,Best Cluster
B_Yamagata_16_1988_M_202_1060,-1
B_Yamagata_16_1988_M_662_1016,9
B_Yamagata_16_1988_M_83_696,13
B_Yamagata_16_1988_NP_131_1407,13
B_Yamagata_16_1988_NP_1381_1461,5
B_Yamagata_16_1988_PA_1118_1195,7
B_Yamagata_16_1988_PA_2056_2117,13
B_Yamagata_16_1988_PA_229_2041,13
B_Yamagata_16_1988_PA_259_1929,5
B_Yamagata_16_1988_PA_314_1905,4
B_Yamagata_16_1988_PA_314_1945,0
B_Yamagata_16_1988_PA_326_1901,1
B_Yamagata_16_1988_PA_399_1858,11
B_Yamagata_16_1988_PA_399_1906,2
B_Yamagata_16_1988_PA_421_1857,5
B_Yamagata_16_1988_PA_452_1826,-1
B_Yamagata_16_1988_PA_457_1860,11
B_Yamagata_16_1988_PA_463_1857,1
B_Yamagata_16_1988_PA_478_1857,1
B_Yamagata_16_1988_PA_480_1852,9
B_Yamagata_16_1988_PA_481_1815,11
B_Yamagata_16_1988_PA_488_1824,0
B_Yamagata_16_1988_PA_489_1826,3
B_Yamagata_16_1988_PA_489_1837,0
B_Yamagata_16_1988_PA_490_1823,0
B_Yamagata_16_1988_PA_496_1773,2
B_Yamagata_16_1988_PA_496_1826,11
B_Yamagata_16_1988_PA_503_1811,5
B_Yamagata_16_1988_PA_514_1719,6
B_Yamagata_16_1988_PA_514_1811,-1
B_Yamagata_16_1988_PA_514_1856,5
B_Yamagata_16_1988_PA_518_1719,1
B_Yamagata_16_1988_PA_530_1899,1
B_Yamagata_16_1988_PA_533_1706,1
B_Yamagata_16_1988_PA_541_1781,5
B_Yamagata_16_1988_PA_602_1720,12
B_Yamagata_16_1988_PA_654_1638,0
B_Yamagata_16_1988_PA_67_92,1
B_Yamagata_16_1988_PA_707_1687,2
B_Yamagata_16_1988_PA_778_1491,2
B_Yamagata_16_1988_PB1_156_2057,13
B_Yamagata_16_1988_PB1_233_2192,3
B_Yamagata_16_1988_PB1_242_2163,3
B_Yamagata_16_1988_PB1_288_2094,4
B_Yamagata_16_1988_PB1_299_2005,-1
B_Yamagata_16_1988_PB1_300_2015,12
B_Yamagata_16_1988_PB1_301_2020,11
B_Yamagata_16_1988_PB1_306_1999,0
B_Yamagata_16_1988_PB1_306_2051,13
B_Yamagata_16_1988_PB1_309_2004,1
B_Yamagata_16_1988_PB1_310_1994,4
B_Yamagata_16_1988_PB1_310_1999,0
B_Yamagata_16_1988_PB1_310_2003,11
B_Yamagata_16_1988_PB1_310_2195,12
B_Yamagata_16_1988_PB1_311_2027,13
B_Yamagata_16_1988_PB1_311_2057,10
B_Yamagata_16_1988_PB1_311_2066,10
B_Yamagata_16_1988_PB1_327_2003,2
B_Yamagata_16_1988_PB1_330_2118,13
B_Yamagata_16_1988_PB1_353_2089,13
B_Yamagata_16_1988_PB1_357_2019,0
B_Yamagata_16_1988_PB1_366_1935,0
B_Yamagata_16_1988_PB1_370_1937,1
B_Yamagata_16_1988_PB1_372_1934,-1
B_Yamagata_16_1988_PB1_375_1936,0
B_Yamagata_16_1988_PB1_375_1941,0
B_Yamagata_16_1988_PB1_375_1943,3
B_Yamagata_16_1988_PB1_377_1934,11
B_Yamagata_16_1988_PB1_377_1935,12
B_Yamagata_16_1988_PB1_379_1934,6
B_Yamagata_16_1988_PB1_380_1944,1
B_Yamagata_16_1988_PB1_384_1942,11
B_Yamagata_16_1988_PB1_386_1934,1
B_Yamagata_16_1988_PB1_387_1920,5
