index,ID,UMAP1,UMAP2,Cluster,center_x,center_y
0,A_PuertoRico_8_1934_HA_100_1534,1.2342874,4.4418993,6,1.529427,3.9975543
1,A_PuertoRico_8_1934_HA_100_1564,9.138746,1.5378485,1,8.768135,0.6260698
2,A_PuertoRico_8_1934_HA_100_1572,1.5576541,4.2043004,6,1.529427,3.9975543
3,A_PuertoRico_8_1934_HA_101_1543,9.049531,5.048499,4,8.95257,4.7213745
4,A_PuertoRico_8_1934_HA_1024_1126,3.6357388,5.641836,0,2.9160502,6.9480243
5,A_PuertoRico_8_1934_HA_1025_1675,2.7580373,4.7376356,5,4.0259933,4.101865
6,A_PuertoRico_8_1934_HA_102_1471,2.8997083,4.753828,5,4.0259933,4.101865
7,A_PuertoRico_8_1934_HA_102_1500,2.9657207,4.811671,5,4.0259933,4.101865
8,A_PuertoRico_8_1934_HA_102_1515,2.9612536,4.703818,5,4.0259933,4.101865
9,A_PuertoRico_8_1934_HA_103_1447,9.235175,4.9279985,4,8.95257,4.7213745
10,A_PuertoRico_8_1934_HA_103_1453,9.271351,4.9001603,4,8.95257,4.7213745
11,A_PuertoRico_8_1934_HA_103_1470,9.443954,5.2433777,4,8.95257,4.7213745
12,A_PuertoRico_8_1934_HA_103_1507,9.256185,4.9728174,4,8.95257,4.7213745
13,A_PuertoRico_8_1934_HA_103_1518,9.251197,5.0264583,4,8.95257,4.7213745
14,A_PuertoRico_8_1934_HA_103_1538,9.463803,4.871082,4,8.95257,4.7213745
15,A_PuertoRico_8_1934_HA_103_1547,9.535921,4.887017,4,8.95257,4.7213745
16,A_PuertoRico_8_1934_HA_103_1551,9.340995,5.151713,4,8.95257,4.7213745
17,A_PuertoRico_8_1934_HA_103_1560,9.249075,5.001658,4,8.95257,4.7213745
18,A_PuertoRico_8_1934_HA_103_1581,9.364655,5.150838,4,8.95257,4.7213745
19,A_PuertoRico_8_1934_HA_103_1598,9.381958,5.014023,4,8.95257,4.7213745
20,A_PuertoRico_8_1934_HA_103_1613,9.377975,5.014111,4,8.95257,4.7213745
21,A_PuertoRico_8_1934_HA_104_128,3.5136619,4.929582,5,4.0259933,4.101865
22,A_PuertoRico_8_1934_HA_104_1462,3.423719,4.8926663,5,4.0259933,4.101865
23,A_PuertoRico_8_1934_HA_104_1488,3.472738,4.9958644,5,4.0259933,4.101865
24,A_PuertoRico_8_1934_HA_104_1571,3.5145977,4.8710747,5,4.0259933,4.101865
25,A_PuertoRico_8_1934_HA_104_1604,3.3947384,4.9614935,5,4.0259933,4.101865
26,A_PuertoRico_8_1934_HA_104_1632,3.407207,4.9023204,5,4.0259933,4.101865
27,A_PuertoRico_8_1934_HA_105_1529,3.1279151,4.9482107,5,4.0259933,4.101865
28,A_PuertoRico_8_1934_HA_105_1541,3.680233,0.2688012,3,3.2829363,0.9749601
29,A_PuertoRico_8_1934_HA_106_1487,8.94377,5.297756,4,8.95257,4.7213745
30,A_PuertoRico_8_1934_HA_106_1570,9.151856,5.300036,4,8.95257,4.7213745
31,A_PuertoRico_8_1934_HA_106_1573,9.101578,5.295778,4,8.95257,4.7213745
32,A_PuertoRico_8_1934_HA_106_1574,9.142686,5.2693977,4,8.95257,4.7213745
33,A_PuertoRico_8_1934_HA_106_1575,9.12519,5.256181,4,8.95257,4.7213745
34,A_PuertoRico_8_1934_HA_106_1581,9.2046175,5.2786646,4,8.95257,4.7213745
35,A_PuertoRico_8_1934_HA_106_1602,9.127472,5.2832975,4,8.95257,4.7213745
36,A_PuertoRico_8_1934_HA_106_1616,9.160128,5.4323363,4,8.95257,4.7213745
37,A_PuertoRico_8_1934_HA_107_1496,3.4726787,5.292117,5,4.0259933,4.101865
38,A_PuertoRico_8_1934_HA_107_1506,3.564954,5.1884465,5,4.0259933,4.101865
39,A_PuertoRico_8_1934_HA_107_1536,3.2106152,5.272265,5,4.0259933,4.101865
40,A_PuertoRico_8_1934_HA_107_1544,3.4653497,5.3111954,5,4.0259933,4.101865
41,A_PuertoRico_8_1934_HA_107_1546,3.3590713,5.435873,5,4.0259933,4.101865
