index,ID,UMAP1,UMAP2,Cluster,center_x,center_y
0,A_PuertoRico_8_1934_HA_100_1564,8.842369,2.7840378,2,8.605511,1.0836127
1,A_PuertoRico_8_1934_HA_1025_1675,4.2385106,5.168244,5,4.468506,6.8082886
2,A_PuertoRico_8_1934_HA_103_1507,9.089766,4.024849,3,6.9703484,4.0937405
3,A_PuertoRico_8_1934_HA_103_1518,9.056504,4.038115,3,6.9703484,4.0937405
4,A_PuertoRico_8_1934_HA_103_1581,9.182396,3.8627036,3,6.9703484,4.0937405
5,A_PuertoRico_8_1934_HA_103_1598,9.058948,4.0386734,3,6.9703484,4.0937405
6,A_PuertoRico_8_1934_HA_103_1613,9.148307,4.0737157,3,6.9703484,4.0937405
7,A_PuertoRico_8_1934_HA_105_1529,5.547722,6.7567134,5,4.468506,6.8082886
8,A_PuertoRico_8_1934_HA_106_1573,8.378467,4.335558,3,6.9703484,4.0937405
9,A_PuertoRico_8_1934_HA_106_1581,8.991237,3.7752967,3,6.9703484,4.0937405
10,A_PuertoRico_8_1934_HA_107_1496,4.7054567,4.8220296,5,4.468506,6.8082886
11,A_PuertoRico_8_1934_HA_107_1544,6.7360406,2.2766898,3,6.9703484,4.0937405
12,A_PuertoRico_8_1934_HA_108_1546,1.8609058,4.3873005,1,1.6496644,6.135744
13,A_PuertoRico_8_1934_HA_110_1554,5.0738053,6.330035,5,4.468506,6.8082886
14,A_PuertoRico_8_1934_HA_111_1547,9.134917,3.7734363,3,6.9703484,4.0937405
15,A_PuertoRico_8_1934_HA_112_1502,8.898282,4.039594,3,6.9703484,4.0937405
16,A_PuertoRico_8_1934_HA_113_1504,4.6452518,6.5528374,5,4.468506,6.8082886
17,A_PuertoRico_8_1934_HA_114_1538,8.71557,3.3346136,3,6.9703484,4.0937405
18,A_PuertoRico_8_1934_HA_114_1570,8.483198,2.8374202,2,8.605511,1.0836127
19,A_PuertoRico_8_1934_HA_114_1577,8.445679,2.8779073,2,8.605511,1.0836127
20,A_PuertoRico_8_1934_HA_115_1519,7.786379,7.009265,0,9.576421,6.5255814
21,A_PuertoRico_8_1934_HA_116_1500,4.622499,6.187841,5,4.468506,6.8082886
22,A_PuertoRico_8_1934_HA_116_1504,4.634652,6.497388,5,4.468506,6.8082886
23,A_PuertoRico_8_1934_HA_117_1477,1.4225498,5.4729104,1,1.6496644,6.135744
24,A_PuertoRico_8_1934_HA_117_1537,1.8214585,4.2024612,4,3.3094966,3.2495022
25,A_PuertoRico_8_1934_HA_117_1546,1.8707478,4.3511324,1,1.6496644,6.135744
26,A_PuertoRico_8_1934_HA_117_1565,4.0134845,2.4298182,4,3.3094966,3.2495022
