index,ID,UMAP1,UMAP2,Cluster,centroid_x,centroid_y
0,A_PuertoRico_8_1934_HA_100_1564,8.842369,2.7840378,0,8.49641178176899,1.1445754861043123
1,A_PuertoRico_8_1934_HA_1025_1675,4.2385106,5.168244,15,3.9057525954955215,4.912115829909577
2,A_PuertoRico_8_1934_HA_103_1507,9.089766,4.024849,2,8.96695868070952,3.954131216717642
3,A_PuertoRico_8_1934_HA_103_1518,9.056504,4.038115,2,8.96695868070952,3.954131216717642
4,A_PuertoRico_8_1934_HA_103_1581,9.182396,3.8627036,2,8.96695868070952,3.954131216717642
5,A_PuertoRico_8_1934_HA_103_1598,9.058948,4.0386734,2,8.96695868070952,3.954131216717642
6,A_PuertoRico_8_1934_HA_103_1613,9.148307,4.0737157,2,8.96695868070952,3.954131216717642
7,A_PuertoRico_8_1934_HA_105_1529,5.547722,6.7567134,-1,,
8,A_PuertoRico_8_1934_HA_106_1573,8.378467,4.335558,-1,,
9,A_PuertoRico_8_1934_HA_106_1581,8.991237,3.7752967,2,8.96695868070952,3.954131216717642
10,A_PuertoRico_8_1934_HA_107_1496,4.7054567,4.8220296,15,3.9057525954955215,4.912115829909577
11,A_PuertoRico_8_1934_HA_107_1544,6.7360406,2.2766898,0,8.49641178176899,1.1445754861043123
12,A_PuertoRico_8_1934_HA_108_1546,1.8609058,4.3873005,-1,,
13,A_PuertoRico_8_1934_HA_110_1554,5.0738053,6.330035,-1,,
14,A_PuertoRico_8_1934_HA_111_1547,9.134917,3.7734363,2,8.96695868070952,3.954131216717642
15,A_PuertoRico_8_1934_HA_112_1502,8.898282,4.039594,2,8.96695868070952,3.954131216717642
16,A_PuertoRico_8_1934_HA_113_1504,4.6452518,6.5528374,-1,,
17,A_PuertoRico_8_1934_HA_114_1538,8.71557,3.3346136,-1,,
18,A_PuertoRico_8_1934_HA_114_1570,8.483198,2.8374202,0,8.49641178176899,1.1445754861043123
19,A_PuertoRico_8_1934_HA_114_1577,8.445679,2.8779073,0,8.49641178176899,1.1445754861043123
20,A_PuertoRico_8_1934_HA_115_1519,7.786379,7.009265,1,9.594454237891412,6.551969166469681
21,A_PuertoRico_8_1934_HA_116_1500,4.622499,6.187841,-1,,
22,A_PuertoRico_8_1934_HA_116_1504,4.634652,6.497388,-1,,
23,A_PuertoRico_8_1934_HA_117_1477,1.4225498,5.4729104,-1,,
24,A_PuertoRico_8_1934_HA_117_1537,1.8214585,4.2024612,-1,,
25,A_PuertoRico_8_1934_HA_117_1546,1.8707478,4.3511324,-1,,
26,A_PuertoRico_8_1934_HA_117_1565,4.0134845,2.4298182,-1,,
27,A_PuertoRico_8_1934_HA_118_1645,5.750817,5.0871773,-1,,
28,A_PuertoRico_8_1934_HA_120_1531,8.603183,3.8400254,2,8.96695868070952,3.954131216717642
29,A_PuertoRico_8_1934_HA_120_1587,8.621285,3.7421765,2,8.96695868070952,3.954131216717642
30,A_PuertoRico_8_1934_HA_122_1446,8.544257,6.6101165,1,9.594454237891412,6.551969166469681
31,A_PuertoRico_8_1934_HA_123_1491,7.14631,2.3242013,0,8.49641178176899,1.1445754861043123
32,A_PuertoRico_8_1934_HA_123_1508,4.449519,6.6705723,-1,,
33,A_PuertoRico_8_1934_HA_124_1401,9.189139,4.12994,2,8.96695868070952,3.954131216717642
34,A_PuertoRico_8_1934_HA_124_1447,8.88772,4.004779,2,8.96695868070952,3.954131216717642
35,A_PuertoRico_8_1934_HA_124_1507,9.023191,4.023264,2,8.96695868070952,3.954131216717642
36,A_PuertoRico_8_1934_HA_124_1580,9.003795,4.08618,2,8.96695868070952,3.954131216717642
37,A_PuertoRico_8_1934_HA_125_1648,4.2034187,2.3868349,-1,,
38,A_PuertoRico_8_1934_HA_126_1343,9.204795,3.851598,2,8.96695868070952,3.954131216717642
39,A_PuertoRico_8_1934_HA_126_1476,9.181874,3.8693297,2,8.96695868070952,3.954131216717642
40,A_PuertoRico_8_1934_HA_126_1498,9.054586,3.8914738,2,8.96695868070952,3.954131216717642
41,A_PuertoRico_8_1934_HA_126_1502,8.998087,3.9598699,2,8.96695868070952,3.954131216717642
42,A_PuertoRico_8_1934_HA_126_1532,9.263173,3.8939993,2,8.96695868070952,3.954131216717642
43,A_PuertoRico_8_1934_HA_126_1547,9.148185,3.7697139,2,8.96695868070952,3.954131216717642
44,A_PuertoRico_8_1934_HA_126_1560,9.135041,3.8508124,2,8.96695868070952,3.954131216717642
45,A_PuertoRico_8_1934_HA_126_1581,9.160418,3.8402088,2,8.96695868070952,3.954131216717642
46,A_PuertoRico_8_1934_HA_127_1485,4.199735,4.221247,-1,,
47,A_PuertoRico_8_1934_HA_127_1591,8.604684,3.7215283,2,8.96695868070952,3.954131216717642
48,A_PuertoRico_8_1934_HA_128_1631,5.773499,7.508282,-1,,
49,A_PuertoRico_8_1934_HA_129_1469,1.112204,6.453244,-1,,
50,A_PuertoRico_8_1934_HA_129_1527,1.1602368,6.4345245,-1,,
51,A_PuertoRico_8_1934_HA_129_1586,1.1995841,6.435231,-1,,
52,A_PuertoRico_8_1934_HA_130_1460,3.8901987,6.3459725,-1,,
53,A_PuertoRico_8_1934_HA_130_1628,2.8169153,3.4081306,8,2.576253741563363,3.9279947546616145
54,A_PuertoRico_8_1934_HA_132_1386,0.77823997,6.1175733,13,0.8001985110989653,5.5664446701101555
55,A_PuertoRico_8_1934_HA_132_1525,0.6990022,6.1732483,13,0.8001985110989653,5.5664446701101555
56,A_PuertoRico_8_1934_HA_132_1529,5.314343,6.638463,-1,,
57,A_PuertoRico_8_1934_HA_132_180,0.82232106,5.9790683,13,0.8001985110989653,5.5664446701101555
58,A_PuertoRico_8_1934_HA_133_1531,8.676151,3.840351,2,8.96695868070952,3.954131216717642
59,A_PuertoRico_8_1934_HA_133_1630,8.69576,3.6563175,2,8.96695868070952,3.954131216717642
60,A_PuertoRico_8_1934_HA_134_1508,4.425312,6.626383,-1,,
61,A_PuertoRico_8_1934_HA_135_1498,9.0607195,3.9742653,2,8.96695868070952,3.954131216717642
62,A_PuertoRico_8_1934_HA_135_1511,9.081154,3.9185488,2,8.96695868070952,3.954131216717642
63,A_PuertoRico_8_1934_HA_135_1581,9.19109,3.8703494,2,8.96695868070952,3.954131216717642
64,A_PuertoRico_8_1934_HA_135_1591,9.15015,3.9860418,2,8.96695868070952,3.954131216717642
65,A_PuertoRico_8_1934_HA_136_1485,4.2445183,4.18163,15,3.9057525954955215,4.912115829909577
66,A_PuertoRico_8_1934_HA_136_1529,5.562325,6.685189,-1,,
67,A_PuertoRico_8_1934_HA_136_1581,8.789336,3.760273,2,8.96695868070952,3.954131216717642
68,A_PuertoRico_8_1934_HA_1373_1407,2.448829,4.8849506,-1,,
69,A_PuertoRico_8_1934_HA_137_1538,8.727366,3.58972,2,8.96695868070952,3.954131216717642
70,A_PuertoRico_8_1934_HA_137_1553,9.353961,3.8435547,2,8.96695868070952,3.954131216717642
71,A_PuertoRico_8_1934_HA_138_1465,2.0934627,5.159188,7,2.0529206504267807,4.992600883227333
72,A_PuertoRico_8_1934_HA_139_1504,4.6572847,6.5983033,-1,,
73,A_PuertoRico_8_1934_HA_139_1533,4.809478,7.254022,11,4.803301201668206,7.815872264801775
74,A_PuertoRico_8_1934_HA_139_1584,4.690722,6.40798,-1,,
75,A_PuertoRico_8_1934_HA_140_1532,9.246361,3.4792657,-1,,
76,A_PuertoRico_8_1934_HA_140_1535,8.924868,3.0326602,-1,,
77,A_PuertoRico_8_1934_HA_140_1543,9.134726,3.3729339,-1,,
78,A_PuertoRico_8_1934_HA_140_1545,9.09787,3.329014,-1,,
79,A_PuertoRico_8_1934_HA_140_1581,9.049479,3.771073,2,8.96695868070952,3.954131216717642
80,A_PuertoRico_8_1934_HA_1417_1447,8.660049,4.032595,2,8.96695868070952,3.954131216717642
81,A_PuertoRico_8_1934_HA_1417_1681,8.689581,4.0181394,2,8.96695868070952,3.954131216717642
82,A_PuertoRico_8_1934_HA_141_1485,4.2272987,4.168226,15,3.9057525954955215,4.912115829909577
83,A_PuertoRico_8_1934_HA_141_1512,8.000346,7.1248775,1,9.594454237891412,6.551969166469681
84,A_PuertoRico_8_1934_HA_1429_1455,7.4624834,2.200225,0,8.49641178176899,1.1445754861043123
85,A_PuertoRico_8_1934_HA_142_1537,1.801881,3.9965699,-1,,
86,A_PuertoRico_8_1934_HA_1438_1467,4.7133923,6.595778,-1,,
87,A_PuertoRico_8_1934_HA_1439_1507,6.8271356,4.0972295,4,6.704428848715124,4.343378866678363
88,A_PuertoRico_8_1934_HA_143_1634,3.5457604,4.0415263,-1,,
